,,,,Calvin College,,,,,,,,,,,,
,Calvin College,,,,,,,,,,,,,,,
,2014 Fall Day 10,,,,,,,,,,,,,,,
Residence by Canadian Province and Country,,,,,,,,,,,,,,,,
,,,,,Table 5b,,,,,,,,,,,
,FTIACs,,Traditional UGs,,All Students,,,,,,,,,,,
Residence,#,%,#,%,#,,%,,,,,,,,,
United States,831,87.4%,3363,88.1%,3514,,88.0%,,,,,,,,,
Canada,22,2.3%,90,2.4%,100,,2.5%,,,,,,,,,
Alberta,-,-,5,0.1%,5,,0.1%,,,,,,,,,
British Columbia,4,0.4%,10,0.3%,11,,0.3%,,,,,,,,,
Manitoba,-,-,2,0.1%,2,,0.1%,,,,,,,,,
Nova Scotia,-,-,1,0.0%,1,,0.0%,,,,,,,,,
Ontario,18,1.9%,72,1.9%,81,,2.0%,,,,,,,,,
Other Countries,98,10.3%,363,9.5%,379,,9.5%,,,,,,,,,
Albania,-,-,1,0.0%,1,,0.0%,,,,,,,,,
Australia,1,0.1%,1,0.0%,1,,0.0%,,,,,,,,,
Bahamas,-,-,1,0.0%,1,,0.0%,,,,,,,,,
Bolivia,1,0.1%,1,0.0%,1,,0.0%,,,,,,,,,
Botswana,-,-,1,0.0%,1,,0.0%,,,,,,,,,
Cambodia,-,-,2,0.1%,2,,0.1%,,,,,,,,,
Cameroon,-,-,3,0.1%,3,,0.1%,,,,,,,,,
China,9,0.9%,33,0.9%,34,,0.9%,,,,,,,,,
Ecuador,-,-,1,0.0%,1,,0.0%,,,,,,,,,
El Salvador,1,0.1%,1,0.0%,1,,0.0%,,,,,,,,,
England,-,-,1,0.0%,1,,0.0%,,,,,,,,,
Ethiopia,1,0.1%,2,0.1%,2,,0.1%,,,,,,,,,
Germany,3,0.3%,4,0.1%,5,,0.1%,,,,,,,,,
Ghana,17,1.8%,51,1.3%,51,,1.3%,,,,,,,,,
Guatemala,2,0.2%,5,0.1%,5,,0.1%,,,,,,,,,
Honduras,3,0.3%,4,0.1%,4,,0.1%,,,,,,,,,
Hong Kong,2,0.2%,11,0.3%,11,,0.3%,,,,,,,,,
Hungary,1,0.1%,1,0.0%,1,,0.0%,,,,,,,,,
India,4,0.4%,13,0.3%,14,,0.4%,,,,,,,,,
Indonesia,3,0.3%,26,0.7%,32,,0.8%,,,,,,,,,
Jamaica,-,-,1,0.0%,1,,0.0%,,,,,,,,,
Japan,1,0.1%,8,0.2%,8,,0.2%,,,,,,,,,
Jordan,-,-,1,0.0%,1,,0.0%,,,,,,,,,
Kenya,7,0.7%,14,0.4%,15,,0.4%,,,,,,,,,
Kyrgyzstan,1,0.1%,3,0.1%,3,,0.1%,,,,,,,,,
Malawi,-,-,1,0.0%,1,,0.0%,,,,,,,,,
Malaysia,2,0.2%,4,0.1%,4,,0.1%,,,,,,,,,
Mongolia,-,-,1,0.0%,1,,0.0%,,,,,,,,,
Myanmar,-,-,1,0.0%,1,,0.0%,,,,,,,,,
Namibia,-,-,1,0.0%,1,,0.0%,,,,,,,,,
Netherlands,-,-,2,0.1%,2,,0.1%,,,,,,,,,
Nicaragua,2,0.2%,3,0.1%,3,,0.1%,,,,,,,,,
Niger(Republic Of),1,0.1%,1,0.0%,1,,0.0%,,,,,,,,,
Nigeria,4,0.4%,26,0.7%,26,,0.7%,,,,,,,,,
Norway,-,-,-,-,4,,0.1%,,,,,,,,,
Pakistan,-,-,1,0.0%,1,,0.0%,,,,,,,,,
Papua New Guinea,1,0.1%,1,0.0%,1,,0.0%,,,,,,,,,
Peru,1,0.1%,2,0.1%,2,,0.1%,,,,,,,,,
Philippines,2,0.2%,9,0.2%,9,,0.2%,,,,,,,,,
Poland,1,0.1%,2,0.1%,2,,0.1%,,,,,,,,,
Romania,1,0.1%,1,0.0%,1,,0.0%,,,,,,,,,
Russia,-,-,1,0.0%,1,,0.0%,,,,,,,,,
Saudi Arabia,-,-,1,0.0%,1,,0.0%,,,,,,,,,
Singapore,3,0.3%,12,0.3%,13,,0.3%,,,,,,,,,
South Africa,-,-,1,0.0%,1,,0.0%,,,,,,,,,
South Korea,15,1.6%,70,1.8%,71,,1.8%,,,,,,,,,
Spain,-,-,1,0.0%,1,,0.0%,,,,,,,,,
Switzerland,-,-,2,0.1%,2,,0.1%,,,,,,,,,
Tanzania,-,-,2,0.1%,2,,0.1%,,,,,,,,,
Thailand,1,0.1%,12,0.3%,12,,0.3%,,,,,,,,,
Turkey,2,0.2%,4,0.1%,4,,0.1%,,,,,,,,,
Uganda,1,0.1%,1,0.0%,1,,0.0%,,,,,,,,,
United Kingdom,1,0.1%,2,0.1%,2,,0.1%,,,,,,,,,
Vietnam,2,0.2%,5,0.1%,5,,0.1%,,,,,,,,,
Zimbabwe,1,0.1%,3,0.1%,3,,0.1%,,,,,,,,,
Total (All Locations),951,100.0%,3816,100.0%,3993,100.0%,,,,,,,,,,
,,,Calvin College,,,,,,,,,,,,,
,,,2014 Fall Day 10,,,,,,,,,,,,,
,"Race, Ethnicity and Citizenship, 2010-2014",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Table 6,,
Race/Ethnicity and Citizenship,,,FTIACs,,,Traditional Undergraduates,,,,,,All Students,,,,
Year,10,11,12,13,14,10,11,12,13,14,10,11,12,13,14,
U.S. Citizens or Permanent Residents,857,862,867,921,847,3514,3446,3447,3503,3423,3645,3591,3605,3627,3568,
Total,92%,90%,89%,92%,89%,92%,91%,90%,90%,90%,91%,91%,90%,90%,89%,
White,720,697,735,742,692,3043,2919,2904,2915,2846,3149,3046,3044,3023,2978,
,77%,73%,75%,74%,73%,79%,77%,76%,75%,75%,79%,77%,76%,75%,75%,
Racial/Ethnic Minorities (AHANA),109,152,115,158,147,373,440,465,513,515,388,452,474,523,523,
,11.7%,15.8%,11.8%,15.7%,15.5%,9.7%,11.6%,12.1%,13.2%,13.5%,9.7%,11.4%,11.8%,13.0%,13.1%,
African American/Black,26,27,21,26,25,99,104,100,99,94,103,107,102,102,94,
Hispanic,25,42,37,44,39,86,104,118,135,127,88,105,119,137,129,
Asian American,45,54,39,38,43,141,161,172,166,169,148,166,176,170,173,
American Indian/Alaskan Native,7,6,0,2,5,15,18,13,13,16,16,18,13,13,16,
Native Hawaiian/Pacific Islander,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,
Two or more races,6,23,18,48,35,31,52,62,100,109,32,55,64,101,111,
Not Stated,28,13,17,21,8,98,87,78,75,62,108,93,87,81,67,
North Americans Living Abroad,27,34,28,33,30,108,106,110,113,102,108,107,111,113,102,
U.S. Citizens w/Dual Citizenship,13,8,12,23,29,38,35,42,59,66,39,38,44,60,67,
Other Citizenship by Selected,78,99,110,85,104,320,342,382,384,393,346,376,403,407,425,
Regions Total,8.3%,10.3%,11.3%,8.4%,10.9%,8.3%,9.0%,10.0%,9.9%,10.3%,8.7%,9.5%,10.1%,10.1%,10.6%,
Canada,21,20,20,13,16,117,100,81,73,68,127,116,88,81,78,
,2.2%,2.1%,2.0%,1.3%,1.7%,3.1%,2.6%,2.1%,1.9%,1.8%,3.2%,2.9%,2.2%,2.0%,2.0%,
Africa Total,16,10,26,18,23,47,51,68,71,81,47,51,68,71,81,
,1.7%,1.0%,2.7%,1.8%,2.4%,1.2%,1.3%,1.8%,1.8%,2.1%,1.2%,1.3%,1.7%,1.8%,2.0%,
Ghana,7,4,15,11,17,18,20,29,35,48,18,20,29,35,48,
Nigeria,6,5,8,5,4,15,20,26,27,24,15,20,26,27,24,
Other Africa,3,1,3,2,2,14,11,13,9,9,14,11,13,9,9,
Asia Total,36,64,59,52,56,130,164,204,220,223,143,177,213,232,238,
,3.9%,6.7%,6.0%,5.2%,5.9%,3.4%,4.3%,5.3%,5.7%,5.8%,3.6%,4.5%,5.3%,5.8%,6.0%,
China,6,4,8,5,7,17,19,27,26,25,22,24,29,26,26,
Hong Kong,0,2,0,1,0,7,8,7,6,2,7,8,7,6,2,
India,0,0,3,3,5,3,2,8,10,13,3,2,8,10,14,
Indonesia,3,5,10,3,0,7,12,22,22,18,10,14,23,28,24,
Malaysia,1,1,1,0,2,4,3,3,3,4,4,3,3,3,4,
Singapore,0,4,0,1,1,2,6,6,6,6,2,6,6,6,7,
South Korea,25,42,35,38,40,80,105,122,137,144,84,110,125,141,149,
Vietnam,1,2,0,0,1,3,3,3,3,4,3,4,4,3,4,
Other Asia,0,4,2,1,0,7,6,6,7,7,8,6,8,9,8,
Central/South Amer.,3,2,1,2,6,12,14,12,10,11,13,15,12,10,12,
,0.3%,0.2%,0.1%,0.2%,0.6%,0.3%,0.4%,0.3%,0.3%,0.3%,0.3%,0.4%,0.3%,0.2%,0.3%,
Honduras,0,0,1,0,2,1,1,2,2,3,1,1,2,2,3,
Other Central/South America,3,2,1,2,4,11,13,10,8,8,12,14,10,8,9,
Europe,2,2,4,0,2,11,10,16,9,8,13,14,21,12,14,
,0.2%,0.2%,0.4%,0.0%,0.2%,0.3%,0.3%,0.4%,0.2%,0.2%,0.3%,0.4%,0.5%,0.3%,0.4%,
Germany,0,0,0,0,0,3,3,2,0,0,4,4,3,0,1,
Netherlands,0,1,0,0,0,0,1,1,1,1,0,1,1,2,2,
Norway,0,0,0,0,0,0,0,0,0,0,0,0,5,1,4,
Russia,0,0,0,0,0,2,3,3,1,0,2,3,3,2,0,
United Kingdom,1,1,2,0,1,3,2,6,3,4,3,2,4,3,4,
Other Europe,1,0,2,0,1,3,1,4,4,3,4,4,5,4,3,
Australia/New Zealand,0,1,0,0,1,3,3,1,1,2,3,3,1,1,2,
Grand Total,935,961,977,1006,951,3834,3788,3829,3887,3816,3991,3967,4008,4034,3993,
,Calvin College,,,,,,,,,,,,,,,
,2014 Fall Day 10,,,,,,,,,,,,,,,
Denominational and Religious Affiliation,,,,,,,,,,,,,,,,
,,,,,Table 7,,,,,,,,,,,
,,,Traditional,,,,,,,,,,,,,
Denominational/,FTIACs,,Undergraduates,,All Students,,,,,,,,,,,
Religious Affiliation,#,%,#,%,#,,%,,,,,,,,,
Christian Reformed,323,34.0%,1374,36.0%,1434,35.9%,,,,,,,,,,
Other Reformed (Subtotal),54,5.7%,253,6.6%,274,,6.9%,,,,,,,,,
Reformed (RCA),31,3.3%,139,3.6%,153,,3.8%,,,,,,,,,
Reformed - Other,13,1.4%,59,1.5%,61,,1.5%,,,,,,,,,
Protestant Reformed,10,1.1%,50,1.3%,55,,1.4%,,,,,,,,,
Netherland Reformed,0,0.0%,5,0.1%,5,,0.1%,,,,,,,,,
Presbyterian (Subtotal),79,8.3%,317,8.3%,325,,8.1%,,,,,,,,,
Presbyterian - Other,33,3.5%,122,3.2%,125,,3.1%,,,,,,,,,
Presbyterian (PCA),23,2.4%,80,2.1%,85,,2.1%,,,,,,,,,
Presbyterian (PCUSA),11,1.2%,59,1.5%,59,,1.5%,,,,,,,,,
Evangelical Presbyterian,8,0.8%,31,0.8%,31,,0.8%,,,,,,,,,
Orthodox Presbyterian,2,0.2%,16,0.4%,16,,0.4%,,,,,,,,,
Reformed Presbyterian,2,0.2%,9,0.2%,9,,0.2%,,,,,,,,,
Other Protestant (by # of Students),419,44.1%,1530,40.1%,1574,39.4%,,,,,,,,,,
Nondenominational,143,15.0%,588,15.4%,610,15.3%,,,,,,,,,,
Baptist,59,6.2%,235,6.2%,238,,6.0%,,,,,,,,,
Other,71,7.5%,169,4.4%,172,,4.3%,,,,,,,,,
Lutheran,23,2.4%,98,2.6%,103,,2.6%,,,,,,,,,
Methodist,25,2.6%,94,2.5%,98,,2.5%,,,,,,,,,
Pentecostal,24,2.5%,96,2.5%,96,,2.4%,,,,,,,,,
Evangelical Free,23,2.4%,83,2.2%,85,,2.1%,,,,,,,,,
Evangelical Covenant,8,0.8%,39,1.0%,40,,1.0%,,,,,,,,,
Wesleyan,13,1.4%,37,1.0%,39,,1.0%,,,,,,,,,
Chr Missionary Alliance,8,0.8%,23,0.6%,23,,0.6%,,,,,,,,,
Nazarene (Church of the),5,0.5%,16,0.4%,17,,0.4%,,,,,,,,,
Brethren,7,0.7%,15,0.4%,15,,0.4%,,,,,,,,,
Episcopal/Anglican,1,0.1%,13,0.3%,13,,0.3%,,,,,,,,,
Congregational/UCC,4,0.4%,13,0.3%,13,,0.3%,,,,,,,,,
Bible Church,5,0.5%,11,0.3%,12,,0.3%,,,,,,,,,
Roman Catholic,32,3.4%,127,3.3%,134,,3.4%,,,,,,,,,
Orthodox,0,0.0%,3,0.1%,4,,0.1%,,,,,,,,,
Other Religions,3,0.3%,11,0.3%,12,,0.3%,,,,,,,,,
None/Not Stated,41,4.3%,201,5.3%,236,,5.9%,,,,,,,,,
Total,951,100%,3816,100%,3993,100%,,,,,,,,,,
,,,,Calvin College,,,,,,,,,,,,
,,,,2014 Fall Day 10,,,,,,,,,,,,
,,"Retention and Graduation Rate History, 2005-2014",,,,,,,,,,,,,,
,,,,,,,,,,,Table 8,,,,,
,,,,,,,,,,,,Four,,,,
,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,,Year,,,,
Retention Rates,FTIACs,FTIACs,FTIACs,FTIACs,FTIACs,FTIACs,FTIACs,FTIACs,FTIACs,FTIACs,Average,,,,,
All FTIACs,,,,,,,,,,,,,,,,
# Enrolled,902,1007,1027,1039,936,945,935,961,977,1006,,970,,,,
% Returning,,,,,,,,,,,,,,,,
,87.7%,87.8%,88.6%,85.9%,85.7%,87.0%,86.5%,85.5%,87.4%,87.4%,,86.7%,,,,
Second Fall,,,,,,,,,,,,,,,,
AHANA1,85.5%,78.9%,78.0%,82.2%,80.8%,80.4%,82.6%,80.3%,80.0%,75.9%,,79.7%,,,,
International2,93.1%,96.3%,87.5%,81.0%,91.2%,92.7%,84.2%,96.2%,87.8%,91.7%,,90.0%,,,,
Access Admit,71.7%,67.3%,71.9%,73.8%,78.6%,77.1%,69.4%,68.5%,67.1%,73.5%,,69.6%,,,,
Non Access Admit,88.7%,88.9%,89.1%,86.5%,86.3%,87.8%,88.2%,87.3%,89.0%,88.9%,,88.4%,,,,
Alumni Children,91.5%,91.2%,92.3%,91.3%,90.1%,93.8%,91.1%,90.3%,93.5%,94.7%,,92.4%,,,,
Top Scholarship,,,,,,,,,,,,,,,,
,92.5%,92.0%,92.0%,92.0%,89.5%,91.0%,90.6%,89.7%,89.5%,90.2%,,90.0%,,,,
Recipients,,,,,,,,,,,,,,,,
Christian Reformed,,,,,,,,,,,,,,,,
,90.5%,89.5%,90.6%,89.9%,88.7%,93.3%,90.0%,87.6%,91.8%,93.2%,,90.7%,,,,
Church,,,,,,,,,,,,,,,,
Other Church,85.1%,86.3%,86.9%,82.7%,83.1%,82.6%,84.1%,84.2%,84.6%,84.6%,,84.4%,,,,
Michigan,88.6%,86.1%,88.8%,87.1%,87.3%,86.0%,86.1%,84.4%,87.3%,87.9%,,86.4%,,,,
Out of State,86.8%,89.6%,88.4%,84.9%,84.0%,88.0%,86.8%,86.7%,87.5%,87.2%,,87.1%,,,,
Public HS,84.5%,83.1%,84.6%,81.9%,83.7%,82.2%,82.2%,81.7%,84.0%,83.7%,,82.9%,,,,
Christian HS,89.9%,91.2%,91.4%,88.4%,87.2%,90.7%,89.8%,88.4%,90.2%,90.3%,,89.7%,,,,
Female,88.1%,88.3%,88.6%,87.4%,86.0%,86.6%,89.3%,86.3%,89.7%,88.5%,,88.5%,,,,
Male,87.3%,87.1%,88.6%,84.2%,85.3%,87.4%,83.7%,84.7%,84.7%,86.1%,,84.8%,,,,
,,,,,,,,,,,,Four,,,,
Graduation,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,,Year,,,,
Rates,FTIACs,FTIACs,FTIACs,FTIACs,FTIACs,FTIACs,FTIACs,FTIACs,FTIACs,FTIACs,Average,,,,,
All FTIACs,,,,,,,,,,,,,,,,
# Enrolled,1061,1053,1031,1049,1042,902,1007,1027,1039,936,,1002,,,,
% Graduating,,,,,,,,,,,,,,,,
,70.7%,74.5%,73.4%,75.4%,74.6%,76.5%,76.4%,76.8%,72.5%,73.6%,,74.8%,,,,
Within Six Years,,,,,,,,,,,,,,,,
AHANA1,55.3%,70.6%,54.9%,59.0%,63.2%,72.6%,56.1%,64.0%,58.3%,53.4%,,58.0%,,,,
International2,76.5%,67.9%,86.5%,79.5%,74.2%,58.6%,81.5%,78.1%,60.5%,73.5%,,73.4%,,,,
Access Admit,30.5%,42.3%,42.5%,42.4%,38.3%,39.6%,40.0%,43.8%,42.9%,47.1%,,43.5%,,,,
Non Access Admit,76.2%,77.1%,75.8%,77.6%,76.8%,78.8%,78.5%,77.9%,73.7%,75.8%,,76.5%,,,,
Alumni Children,76.0%,82.1%,77.9%,80.3%,79.3%,81.9%,81.3%,81.2%,81.6%,80.3%,,81.1%,,,,
Top Scholarship,,,,,,,,,,,,,,,,
,81.3%,83.6%,82.8%,83.7%,84.5%,85.8%,86.2%,85.8%,83.0%,82.4%,,84.4%,,,,
Recipients,,,,,,,,,,,,,,,,
Christian Reformed,,,,,,,,,,,,,,,,
,73.4%,80.4%,77.9%,77.6%,78.9%,80.4%,79.7%,79.7%,79.3%,78.6%,,79.3%,,,,
Church,,,,,,,,,,,,,,,,
Other Church,67.7%,69.4%,69.3%,73.2%,70.3%,72.9%,73.4%,74.3%,66.7%,69.3%,,70.9%,,,,
Michigan,68.7%,75.1%,70.7%,74.8%,76.7%,79.4%,74.6%,76.2%,74.2%,73.8%,,74.7%,,,,
Out of State,72.8%,73.9%,76.3%,76.0%,72.7%,73.7%,78.3%,77.4%,70.8%,73.4%,,75.0%,,,,
Public HS,68.1%,70.6%,71.6%,74.6%,72.1%,71.5%,69.5%,71.3%,66.2%,71.1%,,69.5%,,,,
Christian HS,72.5%,78.0%,74.7%,76.0%,76.1%,80.1%,81.4%,80.7%,76.3%,75.5%,,78.5%,,,,
Female,74.8%,75.2%,74.6%,76.2%,77.6%,77.2%,80.0%,80.1%,76.8%,74.6%,,77.9%,,,,
Male,65.5%,73.7%,71.7%,74.4%,70.8%,75.8%,71.7%,72.9%,67.4%,72.5%,,71.1%,,,,
"1 AHANA identify themselves as African-, Hispanic-, Asian-, and Native-American and are U.S. Citizens or Permanent Residents. Beginning in 2010,",,,,,,,,,,,,,,,,
"based on new Federal guidelines for collecting race/ethnicity data, Hawaiian/Pacific Islander and Multi-Racial students are also included here.",,,,,,,,,,,,,,,,
2 International students in this table are students of Non-North American citizenship and no Lawful Permanent Resident Status in the U.S.,,,,,,,,,,,,,,,,
,,,,Calvin College,,,,,,,,,,,,
,,,,2014 Fall Day 10,,,,,,,,,,,,
,,FTIAC and Transfer Admissions History,,,,,,,,,,,,,,
,,,,,,,,,,,Table 9,,,,,
,1995,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,,,,,
FTIAC Admits,1849,2104,2173,2169,2039,2346,2368,2395,2478,2792,2691,,,,,
FTIAC Enrollees,1015,1007,1027,1039,936,945,935,961,977,1006,951,,,,,
Yield/Conversion Rate,54.9%,47.9%,47.3%,47.9%,45.9%,40.3%,39.5%,40.1%,39.4%,36.0%,35.3%,,,,,
AHANA Students1,27,57,50,73,73,93,109,152,115,158,147,,,,,
International Students5,64,55,67,78,77,74,78,99,110,85,104,,,,,
,386,389,405,419,384,353,361,360,341,321,317,,,,,
Alumni Children,,,,,,,,,,,,,,,,
,38.0%,38.6%,39.4%,40.3%,41.0%,37.4%,38.6%,37.5%,34.9%,31.9%,33.3%,,,,,
Other Church,440,533,548,565,502,559,555,587,599,682,628,,,,,
,575,474,479,474,434,386,380,374,378,324,323,,,,,
Christian Reformed,,,,,,,,,,,,,,,,
,56.7%,47.1%,46.6%,45.6%,46.4%,40.8%,40.6%,38.9%,38.7%,32.2%,34.0%,,,,,
,2,,,,,,,,,,,,,,,
Total CRC 18 Year-olds,5265,5391,5054,5151,4785,4637,4586,4841,4543,4478,4086,,,,,
% CRC 18 Year-olds enrolled,10.9%,8.8%,9.5%,9.2%,9.1%,8.3%,8.3%,7.7%,8.3%,7.2%,7.9%,,,,,
Public High School,426,427,423,395,401,409,404,420,444,448,461,,,,,
Michigan Public HS,197,185,157,155,175,184,178,177,187,186,202,,,,,
,589,580,604,644,535,536,531,541,533,558,490,,,,,
Christian High School,,,,,,,,,,,,,,,,
,58.0%,57.6%,58.8%,62.0%,57.2%,56.7%,56.8%,56.3%,54.6%,55.5%,51.5%,,,,,
Seven Key West MI,280,285,292,285,262,252,260,251,230,229,224,,,,,
Christian HS,27.6%,28.3%,28.4%,27.4%,28.0%,26.7%,27.8%,26.1%,23.5%,22.8%,23.6%,,,,,
,521,523,494,504,479,494,475,482,471,488,463,,,,,
Michigan Residents,,,,,,,,,,,,,,,,
,51.3%,51.9%,48.1%,48.5%,51.2%,52.3%,50.8%,50.2%,48.2%,48.5%,48.7%,,,,,
Other Great Lakes,173,187,226,184,169,176,153,152,185,203,177,,,,,
States3,17.0%,18.6%,22.0%,17.7%,18.1%,18.6%,16.4%,15.8%,18.9%,20.2%,18.6%,,,,,
,254,225,219,249,196,194,210,204,198,207,190,,,,,
Other States,,,,,,,,,,,,,,,,
,25.0%,22.3%,21.3%,24.0%,20.9%,20.5%,22.5%,21.2%,20.3%,20.6%,20.0%,,,,,
,572,565,554,557,500,493,469,524,534,546,520,,,,,
Female,,,,,,,,,,,,,,,,
,56.4%,56.1%,53.9%,53.6%,53.4%,52.2%,50.2%,54.5%,54.7%,54.3%,54.7%,,,,,
Male,443,442,473,482,436,452,466,437,443,460,431,,,,,
Math and/or English,91,79,96,100,71,97,68,105,57,81,67,,,,,
Assessment,9.0%,7.8%,9.3%,9.6%,7.6%,10.3%,7.3%,10.9%,5.8%,8.1%,7.0%,,,,,
,109,55,32,42,70,70,85,89,73,98,84,,,,,
Access Program,,,,,,,,,,,,,,,,
,10.7%,5.5%,3.1%,4.0%,7.5%,7.4%,9.1%,9.3%,7.5%,9.7%,8.8%,,,,,
FTIACs with top,510,625,635,600,564,676,693,664,795,805,763,,,,,
scholarships,4,,,,,,,,,,,,,,,
,50.2%,62.1%,61.8%,57.7%,60.3%,71.5%,74.1%,69.1%,81.4%,80.0%,80.2%,,,,,
Transfer Admits,185,165,182,151,150,200,180,200,191,176,162,,,,,
Transfer Enrollees,126,101,92,85,92,110,100,106,108,101,75,,,,,
Yield/Conversion Rate,68.1%,61.2%,50.5%,56.3%,61.3%,55.0%,55.6%,53.0%,56.5%,57.4%,46.3%,,,,,
AHANA1,na,11,8,2,8,11,13,13,12,20,10,,,,,
International Students5,19,7,14,5,10,9,9,11,9,16,8,,,,,
Female,53,44,51,50,53,57,59,59,63,61,39,,,,,
Male,73,57,41,35,39,53,41,47,45,40,36,,,,,
Michigan Residents,65,56,58,44,51,62,56,55,61,49,36,,,,,
Other Great Lakes,,,,,,,,,,,,,,,,
,13,12,9,12,15,14,17,14,15,20,15,,,,,
States3,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,
"AHANA identify themselves as African-, Hispanic-, Asian-, and Native-American and are U.S. Citizens or Permanent Residents. Beginning in 2010,",,,,,,,,,,,,,,,,
"based on new Federal guidelines for collecting race/ethnicity data, Hawaiian/Pacific Islander and Multi-Racial students are also included here.",,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,
"These are based on baptismal records from the denominational yearbook, adjusted for reporting irregularities and membership losses from the CRC.",,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,
"States are Illinois, Indiana, Ohio, and Wisconsin.",,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,
Scholarship counts in this table do not include the Knollcrest Scholarship,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,
"International student counts here only include non-U.S. Citizens who are here on a temporary visa, i.e., Non-Resident Aliens",,,,,,,,,,,,,,,,
,,,,Calvin College,,,,,,,,,,,,
,,,2014 Fall Day 10,,,,,,,,,,,,,
,"Enrolled to Admitted Yield Rates, 2011 - 2014",,,,,,,,,,,,,,,
,,,,,,,,,,,Table 10,,,,,
,,2011 Fall,,,2012 Fall,,,2013 Fall,,,2014 Fall,,,,,
,Enroll / Admit,,Yield,Enroll / Admit,,Yield,Enroll / Admit,,Yield,Enroll / Admit,,Yield,,,,
First Time College,,,,,,,,,,,,,,,,
Students (FTIACs),961,/,2395,40.1%,977,/,2478,39.4%,1006,/,2792,36.0%,951,/,2691,35.3%
Christian High Schools,541,/,1066,51%,533,/,1115,48%,558,/,1165,48%,490,/,1098,45%
Key W Michigan CHS,252,/,363,69%,230,/,369,62%,229,/,365,63%,224,/,355,63%
Public High Schools,420,/,1329,32%,444,/,1363,33%,448,/,1627,28%,461,/,1593,29%
Michigan Publics,176,/,582,30%,187,/,605,31%,186,/,667,28%,202,/,679,30%
Christian Reformed,374,/,588,64%,378,/,621,61%,324,/,556,58%,323,/,522,62%
Other Churches,587,/,1807,32%,599,/,1857,32%,682,/,2236,31%,628,/,2169,29%
Male,437,/,1022,43%,443,/,987,45%,460,/,1174,39%,431,/,1115,39%
Female,524,/,1373,38%,534,/,1491,36%,546,/,1618,34%,520,/,1576,33%
Access,89,/,168,53%,73,/,171,43%,98,/,220,45%,84,/,213,39%
Scholarship Recipients,711,/,1821,39%,845,/,2117,40%,858,/,2343,37%,815,/,2276,36%
Alumni Children,360,/,566,64%,341,/,565,60%,321,/,545,59%,317,/,534,59%
Michigan,482,/,1072,45%,471,/,1119,42%,488,/,1197,41%,463,/,1165,40%
Great Lakes States1,152,/,521,29%,185,/,550,34%,203,/,713,28%,177,/,620,29%
AHANA2,152,/,359,42%,115,/,354,32%,158,/,476,33%,147,/,494,30%
International Students,99,/,183,54%,110,/,188,59%,85,/,149,57%,104,/,268,39%
Transfer Students,106,/,200,53%,108,/,191,57%,101,/,176,57%,75,/,162,46%
AHANA2,13,/,25,52%,12,/,26,46%,20,/,36,56%,10,/,20,50%
International Students,11,/,15,73%,9,/,13,69%,16,/,22,73%,8,/,18,44%
Michigan,55,/,107,51%,61,/,105,58%,49,/,80,61%,36,/,77,47%
Great Lakes States1,14,/,29,48%,15,/,34,44%,20,/,34,59%,15,/,38,39%
Male,47,/,80,59%,45,/,79,57%,40,/,71,56%,36,/,67,54%
Female,59,/,120,49%,63,/,112,56%,61,/,105,58%,39,/,95,41%
Christian Reformed,25,/,35,71%,21,/,31,68%,18,/,27,67%,17,/,27,63%
Other Churches,81,/,165,49%,87,/,160,54%,83,/,149,56%,58,/,135,43%
1,,,,,,,,,,,,,,,,
"States are Illinois, Indiana, Ohio, and Wisconsin",,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,
"AHANA identify themselves as African-, Hispanic-, Asian-, and Native-American, Hawaiian/Pacific Islander or One or More Races and",,,,,,,,,,,,,,,,
are U.S. Citizens or Permanent Residents.,,,,,,,,,,,,,,,,
,,,Calvin College,,,,,,,,,,,,,
,,,2014 Fall Day 10,,,,,,,,,,,,,
Academic Characteristics of Enrolled FTIACs 2005-2014,,,,,,,,,,,,,,,,
Averages,,,,,,,,Table 11,,,,,,,,
,,,,,Mean SAT,,,,,,,,,,,
,,,Mean ACT,,Critical Reading,,% in Top Tenth,,,,,,,,,
Year,Mean HS GPA,,Composite,,and Math,,of HS Class,,,,,,,,,
2014,3.69,(N=926),26,(N=747),1180,(N=293),32%,164/518,,,,,,,,
2013,3.66,(n=985),26.1,(n=812),1176,(n=301),30%,175/590,,,,,,,,
2012,3.67,(n=953),26.6,(n=773),1204,(n=322),32%,188/580,,,,,,,,
2011,3.6,(n=959),25.8,(n=758),1172,(n=298),28%,173/616,,,,,,,,
2010,3.6,(n=929),26,(n=763),1185,(n=314),30%,178/587,,,,,,,,
2009,3.6,(n=944),26,(n=783),1199,(n=298),29%,203/711,,,,,,,,
2008,3.58,(n=928),25.8,(n=764),1200,(n=295),27%,193/723,,,,,,,,
